,class,text
230,0, its true that the early bird gets the worm first 
231,0, hi ho 
232,1, Racist all month Fuck u honkey 
233,1, LMFAO If you watching porn beating off yo homie text u it show his name in the banner you're a faggot
234,1, fucc nicca yu pose to be pullin up
235,0, maaaaannnn i hope so did we get rid of John Legend looking Charlie Batch 
236,0, mike calls me t bird
237,1, i just said that My TL gotta chill with this pretty face challenge foolishness y'all hoes agg
238,1, Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down 
239,0, we snap chatted for one night lol But you're cute Snapchat me back nig
240,0, i guess ill just trash this drawing because of roster changes 
241,0, my nerves are being worked cos of my monkey 
242,0, monkey mad
243,0, At work imma real Uncle Tom 
244,1, They recruited buku fags in here a warehouse is no place for them 
245,0,Álbum de fotos csitaly TS3 Fairy Tail Satan Soul Mirajane Strauss made with The Sims 3 Happy 
246,1,Álbum de fotos gaywrites In the Making a project by and for queer students at Harvard highlights the 
247,0, Chillin With My Homie Or What s Left Of Him British Rapper Turned ISIS Jihadi Poses With Severed Head tcot
248,0, Truth about any distance for all you love birds out there 
249,0, Frogger best game ever only cuz You suck at flappy bird
250,0, Orton is trash idc he ain't been playing Trashlex Smith only sat out Kaep took his spot 
251,0, Adderall had me killing two birds with one stone 
252,1, This is awkward u fag wonder who's awesome tank that is 
253,0, Wtf is flappy bird are you kidding me
254,0, Yankees Michael Pineda in his next start 
255,0, I'm a mud shark because I have black friends Makes perfect sense idiotic 
256,0, An itsy bitsy teeny weeny yellow pock a dot bikini Polk Ashton Polk
257,0, just got a new fish it's albino and I named him shaquita yee bahaha
258,0, Michael Pineda hides pine tar on his neck fact that the Yankees cheat Go Red Sox Boston
259,0, So they really deleted flappy bird from the App Store cus someone killed themselves over it foreal foreal 
260,0, Rape Cannibalism You Won't Recognize The Original Versions Of These Fairy Tales man wtf
261,1, If u ask me every bitch gay or bi 
262,0, Oxtails and yellow rice is blasphemy boneless
263,0, What s going to be your pick for SelectionSunday 2for5 WatchLikeaKing Dis make colored folk happy
264,0, wasn t that great to me either Equalizer was trash Denzel officially washed bruh neither was flight
265,0, I get paid too chill Share the wealth Lil nicca
266,0, Two of the best Yankees Derek Jeter and Joe Torre JoeTorreDay 
267,0, here s to all the kids who have never found their name on anything in a souvenir store thanks mom for the ghetto name 
268,0, And that's why mock drafts are a joke my friends Anyone 
269,1, We agree do you FUCK YES I DO Send those illegal wetbacks home 
270,0, Oreo cookies 
271,0, Tom Brady slowly becoming washed Nah His weapons just trash
272,0, What will the Lakers be after kobe trash
273,1, HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS Dis be heaven fo a colored man
274,0, Islamic State suspects in Indonesia are Chinese Uighurs Uighur Jihadis they're not just a PRC tool 
275,1, Tea bag a bitch Pahahaha
276,1, fucking white people bitch wut 
277,0, Lakers really trash 
278,1, you like 5'8 you needs to 1 You a hoe 2 i'm 5'10 breaking11 3 suck my dick 
279,0, Name something trash Cavs
280,0, Golden Oreos regular Oreos YES 
281,0, Oreos are basically dirt circles with cream True 
282,0, where am I on this rating scale Depends You still wearing them colored contacts or naw 
283,0, Kit Kat brownies making 
284,0, Bruh Trent took the yellow path 
285,0, i need more beanies just ordered two true religion ones lol
286,0, Uncle Charlie just got thru lip singing haha
287,0, When twitter rappers dm me their trash links 
288,0, Lance Stevenson gone leave Indiana he trash anyway
289,0, A lot of them are though Attitudes be pure trash TeamWhiteGirls SwirlTheWorld
290,0, Where do all the foreskins go when they circumcise a guy the Foreskin Fairy takes them after you put them under your pillow
291,0, Brah Wiz cheated she had hair like a dyke Uh Duh 
292,0, If Howard elbow bosh will bosh fight back don't have to got mcbob bird and UD
293,0, An inning and a half away from Alex Rodriguez being eligible to play Just a thought Yankees MLB OMG Feel an ulcer 
294,1, Dudes shaving without it being for an athletic purpose is gay af you're retarded 
295,0, When you open your starburst candy and get 2 yellows lmao bruh
296,1, When you live this gay you can't be afraid of two black dicks in your butt you fucking queer
297,1, I love the song John Doe dope faggots
298,1, Just got done with my last final and I'm walkin around campus like I own this place queer 
299,0, MMMH Daily is out Stories via yellow is IN luv the bling 
300,1, You dammn Weed potheads are annoying af on Twitter weed and pot are the same thing faggot
301,1, Who is she Y'all hype that bread loaf chick up but I'm a chill a dyke rapper
302,1, Cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga
303,1," White kids favorite activities
1 Calling people niggers on Xbox
2 fucking their pet
3 Shooting up their school "
304,0, Some of y'all bios are trash Mine pretty good
305,0, In the fashion world urban means stolen from black people its ghetto on us and urban on them haha 
306,0, I survived swine flu bird flu west nile and the Bloomberg administration I'll be fine the abortion survival Cant 4get that
307,0, My tweets trash 
308,0, My leave out is trash u sick
309,0, dumb beaner 
310,0, When girls take my snap backs and beanies lol that's 35 dollars a hat and 40 for the AX beanieS I don't let them take it
311,0, I just accidentally ate a pot brownie I guess there goes my pledge of being drug free for life lolz Lmao College
312,0, How I feel when I'm throwing trash away everyday in school 
313,0, Oreos And Milk 
314,1, shut the fuck up you fucking trash nigga work on another ring 
315,1, damn they got wifey Fall back nigga I don't share my hoes
316,0, I find myself wanting to google the yellow king TrueDetective No kidding What is going on 
317,0, Red Neck Ice Bucket Challenge he must be from the SIP redneck
318,0, Adam Jones homers Yankees now lead 5 3 Guy is a monsta
319,0, Making weed brownies tonight goin slide me a batch relo
320,0, Quote this with a weezy verse I'm a diamond in the rough like a baby in the trash
321,0, COLT MCCOY WINS HookEm he's still trash
322,0, How is this trash 
323,0, SingleBecause ill find a cute hoosier to date next year 
324,0, Yankees and Red Sox are scoreless as we play in the 2nd inning THE BAMBINO IS WATCHING 
325,0, Alfredo Aceves in to relieve here in the 4th Yankees he needs to go away gas can 
326,0, Cavs trash Heat trash Smh pat gotta make trades
327,0, Oreo ice cream cake 
328,1, Shoot that nigga and his shorty bitch 
329,0, My Lakers are going to be so trash this season I can't wait 
330,0, Looking at nip rings I can't wait until I can change mine lmao
331,0, Happy new year check yo clock Hun we got another hour lol they just did the lil count down thing
332,1, My phone charging backwards retarded
333,1, You aint special niglet When I'm chilling wit Greg ppl walk up to me to ask me to take pics hatin
334,0, 83 you're really cool you're good at basketball And your a zebra is this
335,1, Lemme find out you niggaz letting bitches shit on yo faces niggas is weirdos
336,0, I hate when I attempt to make the yellow light but the car infront of me stops at the light I be wanting to fight 
337,0, CHUCKSTRONG GoldSwagger thats awesome hoosiers
338,1, u a regular nig u played out b lol ima b Ig famous these days that counts for somethin
339,0, I know u didnt hit that jigga with my fav purse chill 
340,0, Yankees will never have someone wear a single digit uniform again after this season Wow Shows that is an epic organization
341,0, Sick of all the trash talk and cocky attitudes shutupandplay Refs have to take control when needed
342,0, twitpic a selfie with light colored eyes 
343,0, thats my fav part on Take Care whole album trash
344,0, All I see in every IfTheyGunnedMeDown tweet Dis be like da colored Brady Bunch
345,1, No need to thank me killing niggers is it's own reward Dis my pal from our graduation when we was 26
346,0, eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense StopIt
347,1, I hate that bitch the fact that oomf likes her just no retweeettt 1000x 
348,1, bitch ass nigga fuck you these hoes ain't got no manners RealTalk
349,0, Too bad the optimism I have for the Royals you don't have for the Twins Take those Rose ie colored glasses off
350,1, That one friend who you greet with an insult niggers
351,0, Tag a friend that sucks at flappy bird 
352,0, If you used the ObamaCare website you should definitely change your password hahahahahah that's sad boon
353,0, We raided Nicki's wig closet for the summer Bad gals just wanna have fun this bitch has the a nerve smh
354,1, If fleek in yo vocabulary you a faggot 
355,0, I'm only back cause I don't wanna see the boys lose to trash vote5sos 
356,1, faggot Respect
357,0, The fruit of the modern Yankees farm system Joba the Nut 
358,0, Essence Fest anyone I'll be there on the main stage 2 stepping with Uncle Charlie
359,1, o u unfollowed me so i can't dm u so i'll say it here you're a rude cunt lmao you can dm me
360,0, Charlie Strong WILL have Texas back as a power better power of big 12 is anybody's now
361,1, i want affection 24 7 but i also want to be left alone 24 7 do you see the issue here fag
362,0, Car hopping is a different world these ghetto guys tried asking for my number LOL did they have to be ghetto Tho 
363,1, Why yall think its ok to be faggots and want us to be cool with them
364,0, On the east coast there's colored hair everywhere This must be the sweetest wave ever 
365,0, B Oreo a stunt come thru 
366,0, I feel sorry for anyone who paid for LIC because edc is trash music 
367,0, Traded in my nikes for a new mic I guess it's safe to say he sold soles for his new life bada 
368,0, There is a time a place 4 decaf coffee Never in the trash MommyMonday humor via 
369,0, BEST ASIAN MASSAGE ON THE Brooklyn Park slope TOP RATED SPA 718 622 0221 24 
370,0, BEST ASIAN MASSAGE ON THE Brooklyn Park slope TOP RATED SPA 718 622 0221 24 
371,0, BEST ASIAN MASSAGE ON THE Brooklyn Park slope TOP RATED SPA 718 622 0221 24 
372,0, BEST ASIAN MASSAGE ON THE Brooklyn Park slope TOP RATED SPA 718 622 0221 24 
373,0, BEST ASIAN MASSAGE ON THE Brooklyn Park slope TOP RATED SPA 718 622 0221 24 
374,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
375,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
376,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
377,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
378,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
379,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
380,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
381,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
382,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
383,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
384,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
385,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
386,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
387,0, BEST ASIAN MASSAGE ON THE park slope TOP RATED SPA 718 622 0221 24 
388,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
389,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
390,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
391,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
392,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
393,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
394,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
395,0, GRAND OPENING TOP CLASS Oriental Massage PERFECT 
396,0, thots are wearing Uggs ItsFallBecause negros are pulling out their Timbs 
397,1, when they say him they mean dyke Ron wcw 
398,0, when it's yellow outside
399,0, nudes are trash
400,1,' Don't sleep on ma niggah CHood 
401,1,' Happppppy Birthdayyyy lol Niggahs is really 21 in this bitch 
402,1,' If this ugly ass niggah can be with her I can too Tf she with Chuu Baka for anyways this niggah look like a 
403,1,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song 
404,0,'2' good Jeter hero for Yankees in send off via
405,1,'Damn you whitey ' You'll get a kick out of the 'newest form of white privilege' 
406,0,'Eff it let's go after the cripple You have to see Wendy Davis' new attack ad video 
407,0,'Forget to salute ' trash the other guy for the 'bad war' during Cairo II sympathize w 'Pockistan ' gays hurting morale Thanks King 
408,0,'Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin Charlie Brown ' making parents angry 
409,0, U turns on yellow NO ACEPTAR ESTE LUZ ROJO Lights taking too long make me bilingual 
410,0, con't Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns 
411,0, via Charlie Angus is sending Made in China Canadian flag pins back to Conservatives 
412,0, Searches my yellow pages app for the nearest Jack In The Box 
413,0, after BO1 Bruh lol I retired after mw2 because everything was trash afterwards 
414,0, chops does bird call flaps hands 
415,1, goes to olive garden Turns into a cracker goes black friday shopping turns into a nigger 
416,0, rubs hands like bird man
417,0, squak squak squak squak Me bird shut up squak Alex that was an act of defiance Alextalksback
418,0, waits for Fanduel to hit me with the jig 
419,1, me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga
420,1, ankle socks in general are for the faggots bro
421,0, Can I help you Maybe You gotta card for Sorry that tranny died in your motel room now your wife knows Here s an Applebees gift card 
422,1, aaaaaaaaand it begins Fucking niggers that's all Kentucky is and ever will be
