,text,category,label,data_type
110,devilgrimz vigxrarts fucking gay blacklisted hoe holding tehgodclan http xuccwoetmn ,hate_speech,0,train
111,diamondloudkush fuck wrong bitch know ,offensive_lang,1,train
112,dietrich1892 yall shut p bitch ,offensive_lang,1,train
113,dionairish hate pregnant type bitch ,offensive_lang,1,val
114,doyou q got bitch dm read em 3 ,offensive_lang,1,train
115,domworldpeace baseball season win yankee love started ,neither,2,test
116,dommoneek little stupid bitch fuck yoooooouuuu ,offensive_lang,1,test
117,dreadheadari asked dead tho bitch wheet lol ,offensive_lang,1,train
118,dunderbail early bird night owl wise worm ,neither,2,train
119,edgarpixar overdosing heavy drug sound bad tonight pussy shit day ,neither,2,val
120,el grillo1 pit bull photographed lovely fairy tale creature http q0sm89oolh 8221 fairy tale creature ,neither,2,train
121,ferocious ghost 1stname bravo aw fag tweet aw lol ,offensive_lang,1,train
122,flokid88 long lakers trash careless real cc benballer hahaha ,neither,2,train
123,frosstyy h0rheyd tho kiss faggot ,offensive_lang,1,train
124,funnypicsdepot play soccer cheat girl wear khaki coloured cargo haircut http zuai7qwbir 128514 yup ,neither,2,train
125,g27status fat bitch lap ,offensive_lang,1,train
126,gedmelle 17 missed 128544 128545 da yo p bitch twitter finna screamn freemoneymelle ,offensive_lang,1,train
127,gtm al ya bitch gotta know rule shit anybody ask cousin jersey thinkin bout moving lmmfao 128514 128514 128514 128514 ,offensive_lang,1,train
128,gagatom1 8220 malefoot 3 amo los pie http 4qe1hdkk8i 8221 fuck yeah ,offensive_lang,1,train
129,girlthatsvonte hoe thinking meat slap 128564 128075 ainna bruh ,offensive_lang,1,train
130,girlthatsvonte yall bitch wit edge talking 128553 128564 9995 128514 128514 128514 ,offensive_lang,1,train
131,girlthatsvonte yall going trick treating year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit ,offensive_lang,1,val
132,girllssues wanna sex mom fuck right pussy came damn got hacked like fuck ,offensive_lang,1,train
133,gizzy jones94 kiss u eye open watch bitch lmfao ,offensive_lang,1,train
134,goofstroop woulda coulda shoulda hoe 128563 128586 ,offensive_lang,1,train
135,gotti ltf happy bday bitch nigga jetsandaswisher preciate bitch roll ,offensive_lang,1,train
136,hbmostdope 1jayee pipinhoes send bitch ,offensive_lang,1,train
137,hbmostdope ugly bitch like wcw duh bitch el 128514 128514 ,offensive_lang,1,train
138,halotgmg 1stname bravo nigga know hacky sack hoe nah throw look pas lmao ,offensive_lang,1,train
139,heartlessfuck glad getting outta atlanta bunch nigga amp outta jail amp dumb bitch mad kid fuckin em ,offensive_lang,1,train
140,hermosaalma ghetto smart http mpazq3jswf idc ,neither,2,train
141,hiimjorib wife hoe cuz care cheating force relationship place ,offensive_lang,1,train
142,hornyfacts single excuse hoe theonemiss luu ,offensive_lang,1,test
143,hoskinsty96 white boy power bitch black power bitch ,offensive_lang,1,val
144,hudgens 11 let drunk blowed spit shit spark blunts amp fuck hoe bro white dude chill ,offensive_lang,1,train
145,iscoutgirls verbally abrupt bitch u world ,offensive_lang,1,train
146,itsyahboiray anelylove dick sucked yo party bad bitch fr gone set 128514 128514 128514 128514 anelylove ,offensive_lang,1,train
147,itsyesie oomf soooo cute probably hoe lot ,offensive_lang,1,train
148,jayten9 cartoon alway nuffsaid15 saving hoe lmao http 9ukd8wtz6x lmao damn captain saveahoe ,offensive_lang,1,train
149,jreebo want nose bad bois scally chav sockfetish stinking http feqxgn0w6i hot sox leg ,neither,2,train
150,jamesynba wish bitch like brother keezy 128530 ooooow bet ,offensive_lang,1,train
151,jasminepore dressed cat halloween basic pussy ,offensive_lang,1,train
152,jewelxo pornhub gaming stream feature dumb bitch gtfo pornhub katie lt 3 ,offensive_lang,1,train
153,joebudden stop scared choke sex u bitch nigga 8217 like guy hit woman bed foh ,offensive_lang,1,train
154,johnny55perez white thunduh ha iguess hoe loyal bro theyll loyal hoe nig ,offensive_lang,1,train
155,kazatta 1takehov oh man 5 molly ho fuck ya seed fixed ,offensive_lang,1,train
156,kelsiebelsi man refer girl bitch ,offensive_lang,1,test
157,keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga ,offensive_lang,1,train
158,keyshawnswag peel peel bring rewind shaq line ooooow tf said trash ,neither,2,train
159,kingcuh 16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha ,offensive_lang,1,train
160,kinghendo95 vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne ,offensive_lang,1,test
161,kingteej ol dirty foot bitch funny ,offensive_lang,1,train
162,king shawn 6 white thunduh yellow flag amazing 128079 128524 hell yeah niggy ,offensive_lang,1,train
163,kissmysmilee got time bitch actin iffy ,offensive_lang,1,train
164,knightfanneal ucfpinkparty come stay alive knight nation early bird special comeatmeut ,neither,2,val
165,kyranadiya hoe loyal http h1ubsvbkgl smfh amp wonder decent want ,offensive_lang,1,test
166,lcistj bruh stud thinking soft hell ask ya girl time screamed bitch oh okay stfu bye hoe ,offensive_lang,1,train
167,lodycash dry pussy bitch blame condom 128514 128079 128514 128079 128514 ,offensive_lang,1,train
168,lunaraps shut yo bitch http iemn1u0gm5 128557 128514 ,offensive_lang,1,test
169,laflaregodjosh gucci mane jail dropping mixtapes month hoe text ,offensive_lang,1,train
170,latrobemark love hoe money wats wrong nigga ,offensive_lang,1,val
171,lebronvuitton loyal bitch burbs daddy issue like finding holographic mewtwo sounding like lol ,offensive_lang,1,train
172,lilfridayhoe easy cum easy hoe fact ,offensive_lang,1,train
173,lifeasbros charlie sheen real http gggdk3kov7 major fucking respect charlie sheen ,offensive_lang,1,val
174,lightskingawdd wish bae 128533 got hoe tho ,offensive_lang,1,train
175,lil mike 12 fuck twerking bitch cook ,offensive_lang,1,test
176,linniekravitz wesgodlaflare bitch wtf http dasmycxodb ,offensive_lang,1,train
177,lipe great 8220 h0rheyd lipe great shut zoe fight pussy 8221 zoe good man good ,offensive_lang,1,train
178,lolaaisdope lmao fucking snake bitch em ,offensive_lang,1,train
179,loveable aizah big booty hoe sheesh 128525 damn 127807 128064 127807 ,offensive_lang,1,test
180,mlbnetwork stay tuned mlbnetwork update report yankee 1b teixeiramark25 8 10 week dliming35 bum ,neither,2,test
181,rad 8220 dezdlt play soccer cheat girl wear khaki coloured cargo haircut http tycihd6pkw 8221 yes lmfao soccerboy 04 ,neither,2,train
182,madflyentist oregon choke year field trash program rft ,offensive_lang,1,val
183,mannydiesel def cowboy lol artoffloyd terrell owen best eagle amp cowboy dude cried like bitch tv romo ,offensive_lang,1,test
184,markroundtreejr lmfaoooo hate black people http rnvd2nlcdr black people nigger ,hate_speech,0,train
185,master11 20tolife gabrielastarr u bitch potent ,offensive_lang,1,test
186,maxmayo77 http 3jk4kr44x3 pissed lad past lick dirty sol slept ,neither,2,train
187,maxmayo77 http prrskknqrv love frat boy w soft long sol ,neither,2,train
188,maxmayo77 http xpsc3makgj sexy lad hot sol arch ,neither,2,train
189,megamindnick white thunduh nah fam gotta cheat hoe depends female feel ,offensive_lang,1,test
190,mesha nojas vontethekidd 128079 128079 128079 128079 128588 got hick lol ,neither,2,train
191,migsmichelen new twitter confusing shit south america bitch ,offensive_lang,1,train
192,miikito x3 toto mean vagina think pussy cause toto santi like nasty pussy ,offensive_lang,1,train
193,mikelahenry actually choose ugly bitch 58381 fat ,offensive_lang,1,train
194,mileycyrus bitch kill vibe ya tried 127752 127752 127752 dis love miley ,offensive_lang,1,train
195,montrell tired bitch saying look mean 128530 nigga big af wear tight shirt grim everybody ,offensive_lang,1,train
196,motherjones 10 bird grandkids thanks climate change http xqmxhkaswt http rbitegrnhm climate ,neither,2,train
197,mvckfadden stay beautiful bitch ,offensive_lang,1,train
198,nickiminaj wutkinda r purple ceeeleee man gurl jus playin stupid hoe track shitted sum gurls ,offensive_lang,1,val
199,nastycopper money getting taller bitch getting blurry ,offensive_lang,1,train
200,newsomejade seen bitch obsessed nigga 128514 obsessed 128529 ,offensive_lang,1,train
201,nicholas ted33 kobe stay talking trash let forget http vh4tnekvtp j austin12 meant smh ,offensive_lang,1,train
202,nochillpaz nigger http rgja7cfoit lmfao ,hate_speech,0,train
203,fakingg people asking mixed bad asian bitch lol ,offensive_lang,1,train
204,notoriousbm95 whiteponyjr ariza snake coward cripple like hero roach lmaoo ,hate_speech,0,train
205,osay aint 8220 ignorealllaws foster home imaginary trash 8221 whoa chill tf ,neither,2,val
206,officialreplay lowkey tired tired quiet sleep hoe ,offensive_lang,1,train
207,prayingforhead 8220 macklemroe stop bringing weird nigger mention prayingforhead 8221 http cussdjesrk ,offensive_lang,1,train
208,prettyboss brat love hoe 128080 128581 ,offensive_lang,1,train
209,patrickquelo yo girl homeboy ol weak bitch nigga ,offensive_lang,1,train
210,patsfanjoe32 palomino52 think worst advice gave pussy speed lol ,offensive_lang,1,train
211,poemsporn quote tweet favorite animal pussy ,offensive_lang,1,val
212,poetic success hate stripper tell dancer hoe ballet dancer pop pussy beethoven stripper ,offensive_lang,1,val
213,poffalicious andrewbryant poff double vision 2 beer poff double pussy 128526 smh ,offensive_lang,1,train
214,poobie bitch twerk ya 128089 ya damn 128089 8252 65039 ,offensive_lang,1,train
215,prodsjewel 8220 sreadthepeace 8220 yungmindless peacepunkprince prince art http ephrwxmbhr 8221 takin bitch ,offensive_lang,1,train
216,quan1t0 61 welfare government aid claimed white people black slander trash ,neither,2,test
217,quan1t0 bitch care play role ,offensive_lang,1,train
218,queen kaaat took hiding lime tree iemonaids dis bitch da wrong tree bro ,offensive_lang,1,val
219,rtnba drake new shoe released nike jordan yes glitter shoe http qctplxhexm dude fag ,hate_speech,0,train
220,rachiesoul dizzleofficial inna di ghetto lmaoo ,neither,2,train
221,ramboutit 8220 master11 20tolife ramboutit hoe austin 8221 teach austin teach u curved know ,neither,2,train
222,reachtheeclimax bitch cook know suck dick ,offensive_lang,1,test
223,renegademo fat hoe chose lol ,offensive_lang,1,train
224,riahsm hoesaintloyal hoe expects loyal ,offensive_lang,1,train
225,rishaawilliams treshon scrooge nevertrustt ol bitch http amcoiny0wg ,offensive_lang,1,train
226,rnadjorell bruh im tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo ,offensive_lang,1,train
227,sactownprodigy tony romo mavs game dont mean bitch lmao fuk cowgirl lol bitch fuck ,offensive_lang,1,train
228,samjlayman holy shit freddie highmore charlie chocolate factory roll floor laughing ,offensive_lang,1,test
229,samirahusic want sex gf feel like anonymous whata faggot ,offensive_lang,1,train
230,sexualgxfs follower 128525 128553 http f1tjl9xnct somebody bitch ,offensive_lang,1,train
231,shaa jenkins ya bitch bitching clearly care annoying bitch ,offensive_lang,1,train
232,shantaughther catfish hoe thinkin slick nigga catching 128524 ,offensive_lang,1,train
233,shewenttojordan worry bitch worried bout real ,offensive_lang,1,train
234,showarrive hoe insecure nigga handle real ,offensive_lang,1,train
235,shun stokes 128514 128514 128514 128514 bluprint 4 lmao bitch come scooting tent like fuck shit 128557 128557 128557 ,offensive_lang,1,train
236,shun stokes cousin said share hoe brother said sharing caring love brother 128514 ,offensive_lang,1,train
237,slimgirl probz hungry ionn wanna spend money food 128530 broke hoe problem 128514 128514 128514 128128 ,offensive_lang,1,train
238,smeegbaby dese hoe lyin nigga ,offensive_lang,1,train
239,snakecharmsdump http 4b427dqzcv oh yeah fuck bitch ,offensive_lang,1,test
240,sportscenter eli manning threw nfl leading 27th interception season lmao trash ,neither,2,train
241,sportscenter usc senior rb anthony brown head coach steve sarkisian racist quits team 187 http joosdsubir bitch ,neither,2,train
242,stellatex guess zero time mansplaining adios stfu pussy ,offensive_lang,1,train
243,stephenwildboy chilling 128069 8482 http mik3ipnle6 sexy scally lad ,neither,2,val
244,strap sharing bitch 128175 ,offensive_lang,1,train
245,sukmysweetness money impress simple broke bitch ,offensive_lang,1,test
246,sylvieamx pisces anybody bitch let people control change rigghhht ,offensive_lang,1,train
247,tee jonez 16stanleys kingcuh tuku ho idk blah blah blah 128514 128514 128514 ,neither,2,train
248,tee jonez kingcuh 16stanleys mad cuh hahaha suure tuku ho ita 128514 128514 ,neither,2,train
249,tayknosbest hoe crazy ,offensive_lang,1,val
250,taylorr babee gonna slice bitch kevin hart ,offensive_lang,1,train
251,thatniggatroy oomf fuckin fine tho 128553 dam bitch ,offensive_lang,1,train
252,thegamerkingkev wonder girl gave head 24 boy drink magaluf twitter probly sends nude fag ,offensive_lang,1,train
253,thenewsat newsatquestions yeah bitch yeah bitch maybe b steve c later jesse pinkman machinegunkelly ,offensive_lang,1,test
254,thenymphotweets hickies thigh right pussy gt gt gt right ,offensive_lang,1,train
255,theonemiss luu love longer young beautiful ugly monkey ,offensive_lang,1,test
256,therealrickyb21 jetsandaswisher gook come bitch coming ,offensive_lang,1,train
257,therealrickyb21 jetsandaswisher faggot bitch http 2hyyabk4eh ,offensive_lang,1,train
258,realist sam madrid2 yea ipad work friday let ball faggot tropicalblanket work 2 5 ,offensive_lang,1,train
259,theo17100 http byj1hoyhmg scally lad ,neither,2,train
260,theomaxximus gerryshalloweenparty http 3ycrsrnjhc halloween yesterday stupid nigger ,hate_speech,0,train
261,theomaxximus chrus supahot tho walk teacher test drop test bitch fohead http nb5vgdssgi ,offensive_lang,1,train
262,thornton25 8220 kantkeepahbytch love eating pussy lol lol 8221 eat shit forever lol ,offensive_lang,1,train
263,tmacc gfg 8220 voiceofdstreetz tmacc gfg 8220 tizzimarie slush 128549 8221 hoe nasty fam 128564 8221 hoe taste like med 127815 127815 127868 ,offensive_lang,1,train
264,tmacc gfg 8220 tizzimarie slush 128549 8221 hoe nasty fam 128564 ,offensive_lang,1,train
265,tmacc gfg bobby bitch bobbyshmurdags9 getting live fuck hell yea play hoe workout ,offensive_lang,1,train
266,trelekidd yo bitch gucci mane jabarithegreat bitch stoner 128175 128175 http lt9lijjpg9 128514 128514 128514 128514 128514 128514 ,offensive_lang,1,train
267,tweetgamelazy ride bitch handle bar ,offensive_lang,1,train
268,tyjoncuffee hoe traphoussseeeee ,offensive_lang,1,test
269,uberfacts 15 sad tv character death bitter http ulclfuf8nc http 1rxyqoosm0 ned stark man ,neither,2,train
270,unholy jack harbor bitch party bus hoe lol ,offensive_lang,1,train
271,vbomb20 woodchuck20 pussy love ,offensive_lang,1,train
272,veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey http 533flbvwqh bitchy promo ,offensive_lang,1,val
273,vineforthebyrd way fuck bitch http 4lmtfnl2iy lmfao kittycopter ,offensive_lang,1,train
274,wbur smuggler explains helped fighter jihadi highway http ux4anxeawd ,neither,2,val
275,wbeezy quathegreat aww avis look cute 128145 http 9lporcb8w0 128128 128128 128128 gotta ike avi bitch ,offensive_lang,1,train
276,wbeezy run drc simple dont hoe dont worry exposed 128540 fight ,offensive_lang,1,train
277,wannabekanye bitch boosting http uod2f5wtkv size exactly healthy tho ,offensive_lang,1,train
278,withaprettyface 1nonlykeisha bet bitch 128514 128080 128299 128299 128298 128514 128514 kim bye ,offensive_lang,1,test
279,x xpdotjdot damn near gotta protect tweet stalker annoying got dope dick drive bitch loco ,offensive_lang,1,train
280,xojennygirl making marack girlfriend marackaf aye b pullin hoe like taught ,offensive_lang,1,test
281,xoxo angiee bruno fag boy love ,offensive_lang,1,train
282,yehits von 8220 run drc bitch 8221 128514 128514 128514 sike naw beefing 128514 ,offensive_lang,1,train
283,yankee 6 1 yankee look rally 9th rallycap ,neither,2,train
284,youngricooo 8220 wexicanafro702 advantage nice person 8221 hoe everyjuan ,offensive_lang,1,train
285,youngricooo happy birthday bitch nigga wexicanafro702 thanks pal ,offensive_lang,1,train
286,youngricooo sad knowing hoe fuck bc got stack wait till friday ,offensive_lang,1,train
287,yungmigo shane a1 cinco shit harder fucc nigga yee fucc wit rich homie cuz dat ya homeboy fucc nicca ,offensive_lang,1,train
288,zoebarton3 h0rheyd ewww said sunday sunday read nigs 128563 128563 128563 128563 128563 ,offensive_lang,1,train
289,bada bing punch real nigga face cause pussy nigga gonna punch right strong mush shake ,offensive_lang,1,train
290,beedontcare pussy fresh lt stank girl ,offensive_lang,1,train
291,geewillikers slapping greatest thing haha 128527 slapped girl got mad aint pussy week ,offensive_lang,1,val
292,tommycollins wearerichnow buffalobills yeah texan better fucking retard mad ,offensive_lang,1,val
293,malibubarbie nd wtf dark bitch blonde seat hoe looking like black amp milds ,offensive_lang,1,val
294,sugga lane bitch need stay 128526 left n right fuck outta face 128557 128129 128536 ,offensive_lang,1,train
295,sneakyb hate boy deny bitch 128080 128553 smh ,offensive_lang,1,train
296,taradise ya nigs saying eat butt straight face ,offensive_lang,1,train
297,yourewelcome im bos bitch need sit corner ,offensive_lang,1,train
298,iwantfranny hoe ,offensive_lang,1,train
299,prettyflvck0 paul thinkin bout gettin rental da weekend 128665 128168 128168 oooh shit bitch betta stay da street ,offensive_lang,1,train
300,rapdreams bitch hold nigga locked nigga college military different story 128564 ,offensive_lang,1,train
301,simplycaitlin friend hate ratchet hoe ,offensive_lang,1,train
302,adriwadrri love fuck nigga hoe ,offensive_lang,1,train
303,airmaxlad1 hot meat http brz8imk5vk sexy fuck scally lad love meet trainer ,offensive_lang,1,test
304,airmaxlad1 sniff http fhhbbrmybn perved scally lad fuck yeah ,offensive_lang,1,train
305,alejandra p13 bitch love sosa ,offensive_lang,1,train
306,alexissixela 8220 white thunduh legit watched 30 40 second 128529 8221 wtf prob cause retarded smh ,offensive_lang,1,train
307,allisonnamaya cat idea mr pussy ,offensive_lang,1,train
308,altosteel115 http tm28mh5xg2 woof woof sexy thug boy scally ,offensive_lang,1,train
309,ambitiousbree 1nonlykeisha u damn phone ringing 128547 128530 128542 married bitch demand called ,offensive_lang,1,train
310,analicialouise tevin favorite sophomore think funny lmaoo little hoe ,offensive_lang,1,train
311,angelenagoley 10 sex position http nt3pabmwsm http jmhz8sczf0 naw u fucking soul outta bitch 128557 ,offensive_lang,1,train
312,ashlingwilde itsnotadam bored supposed cute faggot ,hate_speech,0,train
313,ayyee ceee man trash 128686 man treasure 127942 ,neither,2,val
314,babineaux got type bad bitch thing like iongotnotype ,offensive_lang,1,train
315,bigbootybishopp white thunduh lassen cc coach want feel youll nig doubt ,hate_speech,0,train
316,bleedingtrap god teeth gold chain white bitch cocaine ,offensive_lang,1,train
317,cheetahbluntz hoe hoe 128129 shhhhh ,offensive_lang,1,train
318,chieflottahoes c roller chiraq thots america known hoe ,offensive_lang,1,train
319,clayton jenn99 gonna miss bitch bus driver lie ,offensive_lang,1,test
320,coltforty2gone hate bitch try friendzone bitch tryin score endzone 128293 128293 128293 soul ,offensive_lang,1,train
321,complex uk ashley young tried deny bird landed mouth gt http mlr5ewgonk http avchfj7rem hahaha ,neither,2,train
322,datfullerkid trevaughnlg yall gimped tht bitch huh lol ,offensive_lang,1,train
323,deepthroatmike boy south ride 128525 128139 http h5matjyfga redneck woof woof ,neither,2,train
324,demi eggleton oh god love victoria mitchell bitch love ,offensive_lang,1,train
325,djsliime long distance shit wack knew bitch cheating uh oh ,offensive_lang,1,train
326,fiirting right 128525 128120 128158 http jzkkivuvjc bitch smh ,offensive_lang,1,test
327,fatboyswagg347 ban dat pussy life amp gotta pay 2 5 millon dollar fine ,offensive_lang,1,train
328,fuckcamoclark rose red violet blue nigger black know true dylan72892 ,offensive_lang,1,train
329,g0rillaz0e sitting window sill window open bird try fly smacked protecttheanimals peta ,neither,2,train
